rating	id	slug
1358.4	746	min-cost-climbing-stairs
1188.6	747	largest-number-at-least-twice-of-others
1372.7	748	shortest-completing-word
2277.0	749	contain-virus
1651.6	750	number-of-corner-rectangles
2025.0	751	ip-to-cidr
1877.6	752	open-the-lock
2273.8	753	cracking-the-safe
1880.3	754	reach-a-number
1832.2	755	pour-water
1990.3	756	pyramid-transition-matrix
2378.6	757	set-intersection-size-at-least-two
1547.0	758	bold-words-in-string
1710.1	759	employee-free-time
1172.5	760	find-anagram-mappings
2292.1	761	special-binary-string
1383.4	762	prime-number-of-set-bits-in-binary-representation
1443.1	763	partition-labels
1753.5	764	largest-plus-sign
1999.1	765	couples-holding-hands
1249.4	766	toeplitz-matrix
1681.3	767	reorganize-string
1787.6	768	max-chunks-to-make-sorted-ii
1566.3	769	max-chunks-to-make-sorted
2863.1	770	basic-calculator-iv
1164.8	771	jewels-and-stones
1815.1	773	sliding-puzzle
2084.2	774	minimize-max-distance-to-gas-station
1516.8	775	global-and-local-inversions
1809.6	776	split-bst
1938.7	777	swap-adjacent-in-lr-string
2096.6	778	swim-in-rising-water
1571.2	779	k-th-symbol-in-grammar
1897.3	780	reaching-points
1453.2	781	rabbits-in-forest
2429.7	782	transform-to-chessboard
1303.3	783	minimum-distance-between-bst-nodes
1341.5	784	letter-case-permutation
1625.0	785	is-graph-bipartite
2168.8	786	k-th-smallest-prime-fraction
1786.5	787	cheapest-flights-within-k-stops
1396.8	788	rotated-digits
1611.8	789	escape-the-ghosts
1830.1	790	domino-and-tromino-tiling
1423.6	791	custom-sort-string
1695.3	792	number-of-matching-subsequences
2100.3	793	preimage-size-of-factorial-zeroes-function
1544.6	794	valid-tic-tac-toe-state
1817.1	795	number-of-subarrays-with-bounded-maximum
1167.1	796	rotate-string
1382.5	797	all-paths-from-source-to-target
2129.7	798	smallest-rotation-with-highest-score
1855.6	799	champagne-tower
1563.9	800	similar-rgb-color
2066.1	801	minimum-swaps-to-make-sequences-increasing
1962.3	802	find-eventual-safe-states
2765.3	803	bricks-falling-when-hit
1307.6	804	unique-morse-code-words
1982.5	805	split-array-with-same-average
1301.4	806	number-of-lines-to-write-string
1376.3	807	max-increase-to-keep-city-skyline
2396.6	808	soup-servings
1605.0	809	expressive-words
2341.5	810	chalkboard-xor-game
1377.6	811	subdomain-visit-count
1542.6	812	largest-triangle-area
1936.7	813	largest-sum-of-averages
1380.2	814	binary-tree-pruning
1964.4	815	bus-routes
1707.9	816	ambiguous-coordinates
1428.7	817	linked-list-components
2391.8	818	race-car
1297.5	819	most-common-word
1632.0	820	short-encoding-of-words
1266.3	821	shortest-distance-to-a-character
1594.3	822	card-flipping-game
1899.6	823	binary-trees-with-factors
1271.7	824	goat-latin
1697.0	825	friends-of-appropriate-ages
1708.8	826	most-profit-assigning-work
1934.0	827	making-a-large-island
2034.4	828	count-unique-characters-of-all-substrings-of-a-given-string
1694.4	829	consecutive-numbers-sum
1251.8	830	positions-of-large-groups
1450.6	831	masking-personal-information
1243.1	832	flipping-an-image
1461.0	833	find-and-replace-in-string
2197.1	834	sum-of-distances-in-tree
1970.0	835	image-overlap
1442.9	836	rectangle-overlap
2350.0	837	new-21-game
1638.1	838	push-dominoes
2053.7	839	similar-string-groups
1426.0	840	magic-squares-in-grid
1412.3	841	keys-and-rooms
1779.9	842	split-array-into-fibonacci-sequence
2077.5	843	guess-the-word
1227.8	844	backspace-string-compare
1436.5	845	longest-mountain-in-array
1565.2	846	hand-of-straights
2200.7	847	shortest-path-visiting-all-nodes
1352.7	848	shifting-letters
1382.7	849	maximize-distance-to-closest-person
2236.0	850	rectangle-area-ii
1783.2	851	loud-and-rich
1181.6	852	peak-index-in-a-mountain-array
1678.1	853	car-fleet
2377.4	854	k-similar-strings
2067.1	855	exam-room
1562.7	856	score-of-parentheses
2259.7	857	minimum-cost-to-hire-k-workers
1880.7	858	mirror-reflection
1341.3	859	buddy-strings
1285.7	860	lemonade-change
1818.0	861	score-after-flipping-matrix
