Date (yyyy/mm/dd),Workout,Workout Name,Program Name,Body Weight (KG),Exercise,Sets×Reps,Sets×Time,Top Set (Reps×KG),e1RM (KG),Reps,Volume (KG),Workout Volume (KG),Duration (hours),Start Time (h:mm),End Time (h:mm),Notes,Set 1 (Reps),Set 1 (KG),Set 2 (Reps),Set 2 (KG),Set 3 (Reps),Set 3 (KG),Set 4 (Reps),Set 4 (KG),Set 5 (Reps),Set 5 (KG)
2019/12/13,1,"Workout A","",82,"Squat",5×5,,5×20,24.6,25,500,2500.0,0.79123,08:43,09:31,"",5,20,5,20,5,20,5,20,5,20
2019/12/13,1,"Workout A","",82,"Bench Press",5×5,,5×50,61.6,25,1250,2500.0,0.79123,08:43,09:31,"",5,50,5,50,5,50,5,50,5,50
2019/12/13,1,"Workout A","",82,"Barbell Row",5×5,,5×30,36.9,25,750,2500.0,0.79123,08:43,09:31,"",5,30,5,30,5,30,5,30,5,30
2019/12/15,2,"Workout B","",82,"Squat",5×5,,5×30,36.9,25,750,1450.0,1,08:43,09:43,"",5,30,5,30,5,30,5,30,5,30
2019/12/15,2,"Workout B","",82,"Overhead Press",5×5,,5×20,24.6,25,500,1450.0,1,08:43,09:43,"",5,20,5,20,5,20,5,20,5,20
2019/12/15,2,"Workout B","",82,"Deadlift",1×5,,5×40,49.3,5,200,1450.0,1,08:43,09:43,"",5,40,,,,,,,,
2019/12/17,3,"Workout A","",82,"Squat",5×5,,5×40,49.3,25,1000,3125.0,0.71113,09:45,10:28,"",5,40,5,40,5,40,5,40,5,40
2019/12/17,3,"Workout A","",82,"Bench Press",5×5,,5×52.5,64.7,25,1312.5,3125.0,0.71113,09:45,10:28,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2019/12/17,3,"Workout A","",82,"Barbell Row",5×5,,5×32.5,40,25,812.5,3125.0,0.71113,09:45,10:28,"",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2019/12/26,4,"Workout B","",82,"Squat",5×5,,5×45,55.4,25,1125,1912.5,0.41709,18:23,18:48,"",5,45,5,45,5,45,5,45,5,45
2019/12/26,4,"Workout B","",82,"Overhead Press",5×5,,5×22.5,27.7,25,562.5,1912.5,0.41709,18:23,18:48,"",5,22.5,5,22.5,5,22.5,5,22.5,5,22.5
2019/12/26,4,"Workout B","",82,"Deadlift",1×5,,5×45,55.4,5,225,1912.5,0.41709,18:23,18:48,"",5,45,,,,,,,,
2020/01/03,5,"Workout A","",82,"Squat",5×5,,5×40,49.3,25,1000,2875.0,0.54372,11:14,11:47,"",5,40,5,40,5,40,5,40,5,40
2020/01/03,5,"Workout A","",82,"Bench Press",5×5,,5×45,55.4,25,1125,2875.0,0.54372,11:14,11:47,"",5,45,5,45,5,45,5,45,5,45
2020/01/03,5,"Workout A","",82,"Barbell Row",5×5,,5×30,36.9,25,750,2875.0,0.54372,11:14,11:47,"",5,30,5,30,5,30,5,30,5,30
2020/01/07,6,"Workout B","",82,"Squat",5×5,,5×45,55.4,25,1125,2000.0,0.33454,16:06,16:26,"",5,45,5,45,5,45,5,45,5,45
2020/01/07,6,"Workout B","",82,"Overhead Press",5×5,,5×25,30.8,25,625,2000.0,0.33454,16:06,16:26,"",5,25,5,25,5,25,5,25,5,25
2020/01/07,6,"Workout B","",82,"Deadlift",1×5,,5×50,61.6,5,250,2000.0,0.33454,16:06,16:26,"",5,50,,,,,,,,
2020/01/09,7,"Workout A","",82,"Squat",5×5,,5×50,61.6,25,1250,3750.0,1,14:22,15:22,"",5,50,5,50,5,50,5,50,5,50
2020/01/09,7,"Workout A","",82,"Bench Press",5×5,,5×47.5,58.5,25,1187.5,3750.0,1,14:22,15:22,"",5,47.5,5,47.5,5,47.5,5,47.5,5,47.5
2020/01/09,7,"Workout A","",82,"Barbell Row",5×5,,5×32.5,40,25,812.5,3750.0,1,14:22,15:22,"",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2020/01/09,7,"Workout A","",82,"lat pulldown",5×5,,5×20,24.6,25,500,3750.0,1,14:22,15:22,"",5,20,5,20,5,20,5,20,5,20
2020/01/20,8,"Workout B","",82,"Squat",5×5,,5×60,73.9,25,1500,2675.0,0.78662,15:15,16:02,"",5,60,5,60,5,60,5,60,5,60
2020/01/20,8,"Workout B","",82,"Overhead Press",5×5,,5×35,43.1,25,875,2675.0,0.78662,15:15,16:02,"",5,35,5,35,5,35,5,35,5,35
2020/01/20,8,"Workout B","",82,"Deadlift",1×5,,5×60,73.9,5,300,2675.0,0.78662,15:15,16:02,"",5,60,,,,,,,,
2020/01/22,9,"Workout A","",82,"Squat",Skipped,,,,0,0,4200.0,1,18:37,19:37,"",0,70,0,70,0,70,0,70,0,70
2020/01/22,9,"Workout A","",82,"Bench Press",5×5,,5×60,73.9,25,1700,4200.0,1,18:37,19:37,"",5,60,5,60,5,60,5,60,5,60
2020/01/22,9,"Workout A","",82,"Barbell Row",5×5,,5×45,55.4,25,1125,4200.0,1,18:37,19:37,"",5,45,5,45,5,45,5,45,5,45
2020/01/22,9,"Workout A","",82,"lat pulldown",Skipped,,,,0,0,4200.0,1,18:37,19:37,"",0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
2020/01/22,9,"Workout A","",82,"Lateral Raises",5×5,,5×5,6.1,25,125,4200.0,1,18:37,19:37,"",5,5,5,5,5,5,5,5,5,5
2020/01/22,9,"Workout A","",82,"Barbell Curls",5×5,,5×20,24.6,25,500,4200.0,1,18:37,19:37,"",5,20,5,20,5,20,5,20,5,20
2020/01/22,9,"Workout A","",82,"Triceps Pushdowns",5×5,,5×30,36.9,25,750,4200.0,1,18:37,19:37,"",5,30,5,30,5,30,5,30,5,30
2020/01/22,10,"Workout B","",82,"Squat",5×5,,5×80,98.6,25,2910,5035.0,1.0629,18:55,19:59,"",5,80,5,80,5,80,5,80,5,80
2020/01/22,10,"Workout B","",82,"Overhead Press",5×5,,5×35,43.1,25,1075,5035.0,1.0629,18:55,19:59,"",5,35,5,35,5,35,5,35,5,35
2020/01/22,10,"Workout B","",82,"Deadlift",1×5,,5×80,98.6,5,1050,5035.0,1.0629,18:55,19:59,"",5,80,,,,,,,,
2020/01/30,11,"Workout A","",82,"Squat",5×5,,5×82.5,101.7,25,2062.5,4812.5,0.61314,18:54,19:31,"",5,82.5,5,82.5,5,82.5,5,82.5,5,82.5
2020/01/30,11,"Workout A","",82,"Bench Press",5×5,,5×62.5,77,25,1562.5,4812.5,0.61314,18:54,19:31,"",5,62.5,5,62.5,5,62.5,5,62.5,5,62.5
2020/01/30,11,"Workout A","",82,"Barbell Row",5×5,,5×47.5,58.5,25,1187.5,4812.5,0.61314,18:54,19:31,"",5,47.5,5,47.5,5,47.5,5,47.5,5,47.5
2020/01/30,11,"Workout A","",82,"lat pulldown",Skipped,,,,0,0,4812.5,0.61314,18:54,19:31,"",0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
2020/01/30,11,"Workout A","",82,"Lateral Raises",Skipped,,,,0,0,4812.5,0.61314,18:54,19:31,"",0,7.5,0,7.5,0,7.5,0,7.5,0,7.5
2020/01/30,11,"Workout A","",82,"Barbell Curls",Skipped,,,,0,0,4812.5,0.61314,18:54,19:31,"",0,22.5,0,22.5,0,22.5,0,22.5,0,22.5
2020/01/30,11,"Workout A","",82,"Triceps Pushdowns",Skipped,,,,0,0,4812.5,0.61314,18:54,19:31,"",0,32.5,0,32.5,0,32.5,0,32.5,0,32.5
2020/02/01,12,"Workout B","",82,"Squat",5×5,,5×85,104.8,25,2125,3615.0,0.5866,16:43,17:18,"",5,85,5,85,5,85,5,85,5,85
2020/02/01,12,"Workout B","",82,"Overhead Press",5/5/5/5/2,,5×45,52.1,22,990,3615.0,0.5866,16:43,17:18,"",5,45,5,45,5,45,5,45,2,45
2020/02/01,12,"Workout B","",82,"Deadlift",1×5,,5×100,123.3,5,500,3615.0,0.5866,16:43,17:18,"",5,100,,,,,,,,
2020/02/06,13,"Workout A","",82,"Squat",5×5,,5×87.5,107.8,25,2587.5,4762.5,0.73687,10:37,11:21,"",5,87.5,5,87.5,5,87.5,5,87.5,5,87.5
2020/02/06,13,"Workout A","",82,"Bench Press",5×5,,5×65,80.1,25,2175,4762.5,0.73687,10:37,11:21,"",5,65,5,65,5,65,5,65,5,65
2020/02/06,13,"Workout A","",82,"Barbell Row",Skipped,,,,0,0,4762.5,0.73687,10:37,11:21,"",0,50,0,50,0,50,0,50,0,50
2020/02/24,14,"Workout B","",82,"Squat",5×5,,5×68,83.8,25,1700,3177.0,0.54339,18:20,18:53,"",5,68,5,68,5,68,5,68,5,68
2020/02/24,14,"Workout B","",82,"Overhead Press",5×5,,5×43.2,53.2,25,1080,3177.0,0.54339,18:20,18:53,"",5,43.2,5,43.2,5,43.2,5,43.2,5,43.2
2020/02/24,14,"Workout B","",82,"Deadlift",1×5,,5×79.4,97.9,5,397,3177.0,0.54339,18:20,18:53,"",5,79.4,,,,,,,,
2020/05/20,15,"Workout A","",82,"Squat",5×5,,5×48,59.1,25,1200,2637.5,0.5874,10:20,10:56,"",5,48,5,48,5,48,5,48,5,48
2020/05/20,15,"Workout A","",82,"Bench Press",5×5,,5×32.5,40,25,812.5,2637.5,0.5874,10:20,10:56,"",5,32.5,5,32.5,5,32.5,5,32.5,5,32.5
2020/05/20,15,"Workout A","",82,"Barbell Row",5×5,,5×25,30.8,25,625,2637.5,0.5874,10:20,10:56,"",5,25,5,25,5,25,5,25,5,25
2020/06/09,16,"Workout B","",82,"Squat",5×5,,5×40,49.3,25,1000,2175.0,1.5811,06:23,07:57,"",5,40,5,40,5,40,5,40,5,40
2020/06/09,16,"Workout B","",82,"Overhead Press",5×5,,5×35,43.1,25,875,2175.0,1.5811,06:23,07:57,"",5,35,5,35,5,35,5,35,5,35
2020/06/09,16,"Workout B","",82,"Deadlift",1×5,,5×60,73.9,5,300,2175.0,1.5811,06:23,07:57,"",5,60,,,,,,,,
2020/06/12,17,"Workout A","",82,"Squat",5×5,,5×45,55.4,25,1125,2687.5,0.88913,06:12,07:06,"",5,45,5,45,5,45,5,45,5,45
2020/06/12,17,"Workout A","",82,"Bench Press",5×5,,5×35,43.1,25,875,2687.5,0.88913,06:12,07:06,"",5,35,5,35,5,35,5,35,5,35
2020/06/12,17,"Workout A","",82,"Barbell Row",5×5,,5×27.5,33.9,25,687.5,2687.5,0.88913,06:12,07:06,"",5,27.5,5,27.5,5,27.5,5,27.5,5,27.5
2020/06/13,18,"Workout B","",82,"Squat",5×5,,5×50,61.6,25,1250,2475.0,0.59165,06:32,07:07,"",5,50,5,50,5,50,5,50,5,50
2020/06/13,18,"Workout B","",82,"Overhead Press",5×5,,5×36,44.3,25,900,2475.0,0.59165,06:32,07:07,"",5,36,5,36,5,36,5,36,5,36
2020/06/13,18,"Workout B","",82,"Deadlift",1×5,,5×65,80.1,5,325,2475.0,0.59165,06:32,07:07,"",5,65,,,,,,,,
2020/06/15,19,"Workout A","",82,"Squat",5×5,,5×52.5,64.7,25,1312.5,3312.5,1.3176,06:14,07:33,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
